Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
12262741,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,"Strayed, Cheryl",,"=""0307592731""","=""9780307592736""",0,4.07,Knopf,Hardcover,336,2012,2012,,2025/07/26,to-read,to-read (#283),to-read,,,,0,0
3263607,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""""","=""""",4,4.40,Ballantine Books,Mass Market Paperback,527,1973,1954,,2021/05/05,currently-reading,currently-reading (#3),currently-reading,,,,2,0
457228,Butcher's Crossing,John  Williams,"Williams, John",Michelle Latiolais,"=""1590171985""","=""9781590171981""",0,4.18,New York Review Books,Paperback,274,2007,1960,,2024/11/07,"to-read, urgent-tbr","to-read (#227), urgent-tbr (#5)",to-read,,,,0,0
759517,Hard to Be a God,Arkady Strugatsky,"Strugatsky, Arkady",Boris Strugatsky,"=""0816491216""","=""9780816491216""",0,4.12,Seabury Press,Hardcover,219,1973,1964,,2025/07/22,"to-read, urgent-tbr","to-read (#282), urgent-tbr (#4)",to-read,,,,0,0
497499,The Door,Magda Szabó,"Szabó, Magda",Len Rix,"=""1843431939""","=""9781843431930""",0,4.10,Harvill Press,Paperback,262,2005,1987,,2025/07/23,currently-reading,currently-reading (#2),currently-reading,,,,1,0
119073,The Name of the Rose,Umberto Eco,"Eco, Umberto",William Weaver,"=""0156001314""","=""9780156001311""",0,4.14,Houghton Mifflin Harcourt,Paperback,552,1994,1980,2025/07/23,2022/03/24,,,read,,,,1,0
218569828,Isabella Nagg and the Pot of Basil,Oliver Darkshire,"Darkshire, Oliver",,"=""1324105917""","=""9781324105916""",0,3.67,W. W. Norton & Company,Hardcover,256,2025,2025,,2025/07/20,to-read,to-read (#281),to-read,,,,0,0
276767,The Word for World Is Forest,Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",4,4.06,,ebook,160,1989,1972,2025/07/16,2025/05/08,,,read,,,,1,0
201901,Always Coming Home,Ursula K. Le Guin,"Guin, Ursula K. Le","Todd Barton, Margaret Chodos-Irvine","=""0520227352""","=""9780520227354""",0,4.07,University of California Press,Paperback,525,2001,1985,,2025/07/16,to-read,to-read (#280),to-read,,,,0,0
227782221,NANA - Émile Zola,Émile Zola,"Zola, Émile",,"=""8583865787""","=""9788583865780""",0,3.84,Lebooks Editora,Kindle Edition,537,2025,1880,,2025/06/09,to-read,to-read (#264),to-read,,,,0,0
41015217,Proust Was a Neuroscientist,Jonah Lehrer,"Lehrer, Jonah",,"=""0547394284""","=""9780547394282""",0,3.85,Mariner Books,Kindle Edition,256,2018,2007,,2025/07/08,to-read,to-read (#279),to-read,,,,0,0
4770925,An Oresteia,Anne Carson,"Carson, Anne","Aeschylus, Euripides, Sophocles","=""086547902X""","=""9780865479029""",0,4.38,"Farrar, Straus and Giroux",Hardcover,272,2009,2009,,2025/07/04,to-read,to-read (#278),to-read,,,,0,0
14265,Under the Glacier,Halldór Laxness,"Laxness, Halldór",Magnus Magnusson,"=""1400034418""","=""9781400034413""",0,3.54,Vintage,Paperback,240,2005,1968,,2025/07/04,to-read,to-read (#277),to-read,,,,0,0
61340200,This Is Not Miami,Fernanda Melchor,"Melchor, Fernanda",Sophie Hughes,"=""0811228053""","=""9780811228053""",4,4.14,New Directions,Paperback,160,2023,2013,2025/07/03,2024/01/07,,,read,,,,1,0
203200544,Perfection,Vincenzo Latronico,"Latronico, Vincenzo",Sophie Hughes,"=""1804271055""","=""9781804271056""",0,3.69,Fitzcarraldo Editions,Kindle Edition,112,2025,2022,,2025/07/03,"to-read, urgent-tbr","to-read (#276), urgent-tbr (#3)",to-read,,,,0,0
210678433,Reservoir Bitches,Dahlia de la Cerda,"Cerda, Dahlia de la","Julia Sanches, Heather Cleary","=""1761385992""","=""9781761385995""",0,4.20,Scribe,Kindle Edition,160,2024,2019,,2025/07/03,to-read,to-read (#275),to-read,,,,0,0
23597544,Landmarks,Robert Macfarlane,"Macfarlane, Robert",,"=""""","=""""",0,4.23,Hamish Hamilton,Hardcover,387,2015,2015,,2025/07/02,to-read,to-read (#274),to-read,,,,0,0
