Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
195430687,Blue Sisters,Coco Mellors,"Mellors, Coco",,"=""0593723767""","=""9780593723760""",0,3.94,Ballantine Books,Hardcover,352,2024,2024,,2025/07/04,currently-reading,currently-reading (#1),currently-reading,,,,1,0
58730652,Paradais,Fernanda Melchor,"Melchor, Fernanda",Sophie Hughes,"=""1913097870""","=""9781913097875""",0,3.62,Fitzcarraldo Editions,Paperback,118,2022,2021,2025/07/03,2025/05/30,,,read,,,,1,0
115155,My Dinner With André,Wallace Shawn,"Shawn, Wallace",André Gregory,"=""0802130631""","=""9780802130631""",0,4.30,Grove Press,Paperback,240,1994,1981,,2025/06/23,to-read,to-read (#64),to-read,,,,0,0
36047860,Milkman,Anna Burns,"Burns, Anna",,"=""0571338763""","=""9780571338764""",4,3.53,Faber & Faber,Kindle Edition,352,2018,2018,2025/04/19,2024/12/30,,,read,,,,1,0
676737,Grendel,John Gardner,"Gardner, John",,"=""0679723110""","=""9780679723110""",0,3.69,Random House Vintage Books,Paperback,174,2010,1971,,2025/05/30,to-read,to-read (#63),to-read,,,,0,0
200776812,Butter,Asako Yuzuki,"Yuzuki, Asako",Polly Barton,"=""0063236400""","=""9780063236400""",4,3.49,Ecco,Hardcover,464,2024,2017,2025/05/27,2025/04/19,,,read,,,,1,0
406235,Giovanni’s Room,James Baldwin,"Baldwin, James",,"=""""","=""""",0,4.34,Laurel,Paperback,178,1988,1956,,2025/05/04,to-read,to-read (#62),to-read,,,,0,0
59629744,Diary of a Void,Emi Yagi,"Yagi, Emi","David  Boyd, Lucy North","=""0143136879""","=""9780143136873""",0,3.49,Viking,Hardcover,213,2022,2020,,2025/04/22,to-read,to-read (#61),to-read,,,,0,0
760702,Goodbye to Berlin,Christopher Isherwood,"Isherwood, Christopher",,"=""0586047956""","=""9780586047958""",0,3.93,Triad Panther,Mass Market Paperback,208,1977,1939,,2025/04/16,to-read,to-read (#60),to-read,,,,0,0
341879,Just Kids,Patti Smith,"Smith, Patti",,"=""""","=""""",0,4.21,Ecco,Hardcover,304,2010,2010,2025/03/01,2023/08/19,,,read,,,,1,0
36436100,Notes on ‘Camp’,Susan Sontag,"Sontag, Susan",,"=""0241339707""","=""9780241339701""",0,3.97,Penguin Classics,Paperback,57,2018,1964,,2025/02/22,to-read,to-read (#59),to-read,,,,0,0
36578942,"The 100-Year-Old Man Who Climbed Out the Window and Disappeared (The Hundred-Year-Old Man, #1)",Jonas Jonasson,"Jonasson, Jonas",,"=""""","=""""",0,3.82,Hachette Books,Kindle Edition,396,2012,2009,2025/01/11,2024/12/21,,,read,,,,1,0
49083140,Boy Parts,Eliza  Clark,"Clark, Eliza",,"=""1910312649""","=""9781910312643""",0,3.73,Influx Press,ebook,304,2020,2020,,2024/12/21,to-read,to-read (#58),to-read,,,,0,0
60701439,Big Swiss,Jen Beagin,"Beagin, Jen",,"=""1982153083""","=""9781982153083""",5,3.68,Scribner,Hardcover,336,2023,2023,2024/12/21,2023/09/25,,,read,,,,1,0
23453099,Eileen,Ottessa Moshfegh,"Moshfegh, Ottessa",,"=""1594206627""","=""9781594206627""",0,3.56,Penguin Press,Hardcover,260,2015,2015,2024/12/01,2023/08/31,,,read,,,,1,0
45032,Mansfield Park,Jane Austen,"Austen, Jane","Charles Edmund Brock, Kathryn Sutherland","=""""","=""""",0,3.86,Penguin Books,Paperback,488,2003,1814,2023/12/08,2023/12/08,,,read,,,,1,0
4900,Heart of Darkness,Joseph Conrad,"Conrad, Joseph",,"=""1892295490""","=""9781892295491""",0,3.43,Green Integer,Paperback,188,2003,1899,2024/11/10,2024/11/10,,,read,,,,1,0
18144253,A Pale View of Hills,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""0307829073""","=""9780307829078""",4,3.79,Vintage,Kindle Edition,196,2012,1982,2023/08/02,2023/07/31,,,read,,,,1,0
18254,Oliver Twist,Charles Dickens,"Dickens, Charles",Philip Horne,"=""""","=""""",0,3.88,Penguin Books,Paperback,608,2003,1838,2024/08/24,2024/08/03,,,read,,,,1,0
343,Perfume. The story of a murderer,Patrick Süskind,"Süskind, Patrick",John E. Woods,"=""""","=""""",0,4.04,Penguin Books,Paperback,263,1987,1985,,2024/08/04,to-read,to-read (#57),to-read,,,,0,0
59435615,Lote,Shola von Reinhold,"Reinhold, Shola von",,"=""1478018720""","=""9781478018728""",5,4.05,Duke University Press,Paperback,384,2022,2020,2023/03/01,2023/04/18,favorites,favorites (#5),read,,,,2,0
