Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
355637,The Midnight Library,Matt Haig,"Haig, Matt",,9780525559474,"=""9780525559474""",5,3.5,Viking,Hardcover,304,2020,2020,,2025/02/01,to-read,to-read (#1),to-read,Captivating from start to finish.,,,2,0
671067,Waiting for Godot,Samuel Beckett,"Beckett, Samuel",,9780571244591,"=""9780571244591""",5,3.84,"Faber & Faber, Limited",Paperback,109,2011,2011,2024/12/04,2024/12/03,read,read (#1),read,Thought-provoking and well-written.,,,1,1
980079,Becoming,Michelle Obama,"Obama, Michelle",,9780525633679,"=""9780525633679""",0,3.5,Random House Audio,Paperback,300,2018,2018,,2025/03/06,read,read (#1),read,Too slow for my taste.,,,0,1
432237,Game of Thrones: A Pop-Up Guide to Westeros,Matthew Reinhart,"Reinhart, Matthew",,9781608873142,"=""9781608873142""",0,4.62,Insight Editions,Paperback,14,2014,2014,,2024/06/16,read,read (#1),read,Not my cup of tea. Found it boring.,,,1,1
182732,Normal People,Sally Rooney,"Rooney, Sally",,9781984822178,"=""9781984822178""",3,3.81,Hogarth,Hardcover,279,2018,2018,,2023/11/14,read,read (#1),read,,,,0,1
785963,"The 100-Year-Old Man Who Climbed Out the Window and Disappeared (The Hundred-Year-Old Man, #1)",Jonas Jonasson,"Jonasson, Jonas",,9781401324643,"=""9781401324643""",0,3.82,Hyperion,Paperback,396,2012,2012,2025/10/02,2025/07/14,read,read (#1),read,,,,0,0
545822,"Death Bringer (Skulduggery Pleasant, #6)",Derek Landy,"Landy, Derek",,9780008266387,"=""9780008266387""",0,4.47,HarperCollinsChildren’sBooks,Hardcover,609,2018,2018,2025/08/08,2025/06/25,read,read (#1),read,,,,0,0
862869,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",,9789944184939,"=""9789944184939""",0,3.89,Antik Kitap,Hardcover,260,2016,2016,,2025/06/27,currently-reading,currently-reading (#1),currently-reading,,,,1,0
801823,Where the Crawdads Sing,Delia Owens,"Owens, Delia",,9780735219090,"=""9780735219090""",2,4.37,G. P. Putnam's Sons,Paperback,384,2018,2018,,2025/08/10,to-read,to-read (#1),to-read,,,,2,1
703376,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,"Strayed, Cheryl",,9780307592736,"=""9780307592736""",0,3.5,Alfred A. Knopf,Hardcover,315,2012,2012,2024/02/15,2023/12/21,read,read (#1),read,Too slow for my taste.,,,2,0
