Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
475307,The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor",,9781530117505,"=""9781530117505""",2,3.5,CreateSpace Independent Publishing Platform,Kindle Edition,536,2015,2015,,2025/09/10,read,read (#1),read,Too slow for my taste.,,,1,0
159579,The Amazing Adventures of Kavalier & Clay,Michael Chabon,"Chabon, Michael",,0679450041,"=""0679450041""",4,4.0,Random House,Kindle Edition,639,1957,1957,2023/10/12,2023/08/22,read,read (#1),read,One of my favorites. Highly recommend!,,,1,0
567213,The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,9781439107959,"=""9781439107959""",1,3.5,Scribner,Kindle Edition,571,2010,2010,2023/02/03,2022/11/24,read,read (#1),read,Didn't connect with the characters.,,,2,0
583020,The Tragedy of Mariam,Elizabeth Cary,"Cary, Elizabeth",,9780342785186,"=""9780342785186""",5,3.16,Franklin Classics,ebook,194,2018,2018,2022/06/21,2022/04/16,read,read (#1),read,Captivating from start to finish.,,,1,1
123837,Hallucinations,Oliver Sacks,"Sacks, Oliver",,9780307957245,"=""9780307957245""",0,3.93,Alfred A. Knopf,Paperback,326,2012,2012,2021/03/13,2020/12/21,read,read (#1),read,,,,0,0
612257,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,9780553573404,"=""9780553573404""",0,4.45,Voyager,Paperback,819,2000,2000,,2023/10/12,read,read (#1),read,Didn't connect with the characters.,,,0,0
818692,Infinite Jest,David Foster Wallace,"Wallace, David Foster",,9780316066525,"=""9780316066525""",4,3.5,Back Bay Books (Little Brown and Company),Hardcover,1104,1996,1996,,2025/10/23,to-read,to-read (#1),to-read,,,,0,0
341852,The Fall,Albert Camus,"Camus, Albert",,9781400042555,"=""9781400042555""",0,4.03,Everyman's Library,Hardcover,147,2004,2004,,2025/01/02,read,read (#1),read,,,,2,0
930590,Big Swiss,Jen Beagin,"Beagin, Jen",,9781982153083,"=""9781982153083""",4,3.68,Scribner,ebook,336,2023,2023,,2025/04/05,to-read,to-read (#1),to-read,,,,0,1
824684,A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",,9780739489505,"=""9780739489505""",2,3.5,Riverhead Books,Kindle Edition,372,2007,2007,,2021/07/13,read,read (#1),read,,,,2,1
565485,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,9780712607940,"=""9780712607940""",3,4.31,Century Publishing,ebook,264,1985,1985,,2023/08/09,to-read,to-read (#1),to-read,,,,1,0
996847,Chéri,Colette,Colette,,0374528012,"=""0374528012""",0,3.67,"Farrar, Straus, Giroux",Hardcover,122,2001,2001,,2025/02/02,to-read,to-read (#1),to-read,Too slow for my taste.,,,1,1
507521,The Three-Body Problem,Cixin Liu,"Liu, Cixin",,9781784971618,"=""9781784971618""",1,5.0,Head of Zeus,Hardcover,550,2008,2008,,2021/07/21,to-read,to-read (#1),to-read,Didn't connect with the characters.,,,0,0
215112,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,9781804220375,"=""9781804220375""",3,3.5,"Farrar, Straus, Giroux",ebook,230,2011,2011,,2024/11/08,to-read,to-read (#1),to-read,,,,1,1
386478,Where the Crawdads Sing,Delia Owens,"Owens, Delia",,9780735219090,"=""9780735219090""",0,4.37,G. P. Putnam's Sons,Kindle Edition,384,2018,2018,,2025/06/29,to-read,to-read (#1),to-read,,,,1,0
228915,The Road,Cormac McCarthy,"McCarthy, Cormac",,9780330447553,"=""9780330447553""",2,4.0,vintage International,Kindle Edition,241,2006,2006,2021/06/18,2021/05/18,read,read (#1),read,Didn't connect with the characters.,,,0,0
790235,The Silence of the Lambs,Thomas Harris,"Harris, Thomas",,9780312022822,"=""9780312022822""",2,5.0,St. Martin's Press,Kindle Edition,338,1988,1988,2024/10/05,2024/08/17,read,read (#1),read,,,,2,0
767427,Jonathan Strange & Mr Norrell,Susanna Clarke,"Clarke, Susanna",,9780765356154,"=""9780765356154""",0,4.0,Tor Books,Kindle Edition,1024,2001,2001,2026/01/01,2025/10/23,read,read (#1),read,Not my cup of tea. Found it boring.,,,1,0
545126,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",,9789944184939,"=""9789944184939""",2,3.89,Antik Kitap,Paperback,260,2016,2016,,2021/10/03,to-read,to-read (#1),to-read,Didn't connect with the characters.,,,1,1
819738,Swing Time,Zadie Smith,"Smith, Zadie",,9780241144152,"=""9780241144152""",2,3.56,Penguin Press,Kindle Edition,453,2016,2016,2023/03/22,2023/01/19,read,read (#1),read,,,,0,0
320599,Harry Potter and the Goblet of Fire,J.K. Rowling,"Rowling, J.K.",,9780747546245,"=""9780747546245""",5,3.5,Bloomsbury,ebook,636,1993,1993,2023/04/28,2023/04/22,read,read (#1),read,,,,0,0
380146,The Moon Is a Harsh Mistress,Robert A. Heinlein,"Heinlein, Robert A.",,9780399105562,"=""9780399105562""",3,3.5,G. P. Putnam's Sons,ebook,383,1965,1965,,2023/11/09,to-read,to-read (#1),to-read,,,,0,1
628199,Life of Pi,Yann Martel,"Martel, Yann",,9780857865533,"=""9780857865533""",5,3.94,Canongate Books Ltd,Hardcover,460,2001,2001,,2021/01/16,to-read,to-read (#1),to-read,Thought-provoking and well-written.,,,0,1
509211,The Sixth Extinction: An Unnatural History,Elizabeth Kolbert,"Kolbert, Elizabeth",,9780805092998,"=""9780805092998""",3,5.0,Henry Holt and Company,Kindle Edition,319,2014,2014,,2023/03/29,currently-reading,currently-reading (#1),currently-reading,,,,1,1
950431,"Equal Rites (Discworld, #3; Witches, #1)",Terry Pratchett,"Pratchett, Terry",,9780451157041,"=""9780451157041""",4,4.07,New American Library,Hardcover,228,1988,1988,,2022/07/14,to-read,to-read (#1),to-read,Amazing book! Really enjoyed the writing style.,,,2,1
283222,The Help,Kathryn Stockett,"Stockett, Kathryn",,9780399155345,"=""9780399155345""",5,3.5,Amy Einhorn Books,Kindle Edition,451,2009,2009,2024/11/22,2024/08/26,read,read (#1),read,Amazing book! Really enjoyed the writing style.,,,0,1
