Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
549406,Atomic Habits,James Clear,"Clear, James",,9781804220207,"=""9781804220207""",4,3.5,James Clear,Paperback,168,2016,2016,2024/05/06,2024/04/25,read,read (#1),read,Captivating from start to finish.,,,2,0
921497,Circe,Madeline Miller,"Miller, Madeline",,9780316556330,"=""9780316556330""",5,4.22,"Little, Brown and Company",ebook,393,2018,2018,2024/04/07,2024/03/17,read,read (#1),read,,,,2,1
303978,Becoming,Michelle Obama,"Obama, Michelle",,9780525633679,"=""9780525633679""",3,3.5,Random House Audio,ebook,300,2018,2018,2024/03/26,2024/03/13,read,read (#1),read,,,,0,0
904568,The Perks of Being a Wallflower,Stephen Chbosky,"Chbosky, Stephen",,9780671027346,"=""9780671027346""",3,4.24,MTV Books/Pocket Books,Kindle Edition,213,2002,2002,2024/02/29,2024/02/21,read,read (#1),read,One of my favorites. Highly recommend!,,,2,1
243559,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,9781444738209,"=""9781444738209""",5,4.28,Hodder,ebook,658,1965,1965,2024/02/14,2024/02/03,read,read (#1),read,One of my favorites. Highly recommend!,,,2,0
307701,"Eric (Discworld, #9; Rincewind, #4)",Terry Pratchett,"Pratchett, Terry",,9783453062344,"=""9783453062344""",5,3.79,Heyne,Kindle Edition,197,1992,1992,2024/01/21,2023/12/31,read,read (#1),read,,,,2,0
478989,Born to Run,Michael Morpurgo,"Morpurgo, Michael",,9781933784090,"=""9781933784090""",5,4.17,Insight Editions,Paperback,240,2006,2006,2024/01/04,2023/12/20,read,read (#1),read,Absolutely loved this book!,,,0,1
455332,Ubik,Philip K. Dick,"Dick, Philip K.",,9788498003185,"=""9788498003185""",2,4.11,,Paperback,288,,,2023/12/13,2023/12/08,read,read (#1),read,Too slow for my taste.,,,0,0
310133,The Book Thief,Markus Zusak,"Zusak, Markus",,9781407004440,"=""9781407004440""",5,3.5,Random House Publishing Group,Kindle Edition,300,1998,1998,2023/11/19,2023/10/29,read,read (#1),read,,,,0,1
893859,What I Talk About When I Talk About Running,Haruki Murakami,"Murakami, Haruki",,9780385681919,"=""9780385681919""",5,3.87,Anchor Canada,ebook,188,2013,2013,2023/11/05,2023/10/24,read,read (#1),read,Absolutely loved this book!,,,0,0
905729,Project Hail Mary,Andy Weir,"Weir, Andy",,9781529100624,"=""9781529100624""",4,3.5,,ebook,496,2021,2021,2023/10/11,2023/09/20,read,read (#1),read,Absolutely loved this book!,,,0,1
669027,"Making Money (Discworld, #36; Moist Von Lipwig, #2)",Terry Pratchett,"Pratchett, Terry",,9780061161643,"=""9780061161643""",5,4.27,Harper,ebook,394,2007,2007,2023/09/28,2023/09/04,read,read (#1),read,,,,0,1
732444,"His Dark Materials (His Dark Materials, #1-3)",Philip Pullman,"Pullman, Philip",,9780375847226,"=""9780375847226""",4,4.29,Alfred A. Knopf,Kindle Edition,933,2000,2000,2023/09/05,2023/08/16,read,read (#1),read,Absolutely loved this book!,,,0,1
800510,"Skulduggery Pleasant (Skulduggery Pleasant, #1)",Derek Landy,"Landy, Derek",,9780061341045,"=""9780061341045""",5,4.18,HarperChildrensAudio,ebook,392,2007,2007,2023/08/16,2023/07/19,read,read (#1),read,,,,0,1
174321,"The Future of the Mind: The Scientific Quest to Understand, Enhance, and Empower the Mind",Michio Kaku,"Kaku, Michio",,9780385530828,"=""9780385530828""",5,4.08,Doubleday,Kindle Edition,377,2014,2014,2023/07/25,2023/07/08,read,read (#1),read,Absolutely loved this book!,,,1,1
515356,An Inspector Calls,J.B. Priestley,"Priestley, J.B.",,0435227106,"=""0435227106""",4,3.82,Heinemann Educational Books,ebook,117,1988,1988,2023/07/04,2023/06/26,read,read (#1),read,,,,0,1
418774,The Three-Body Problem,Cixin Liu,"Liu, Cixin",,9781784971618,"=""9781784971618""",5,5.0,Head of Zeus,Hardcover,550,2008,2008,2023/06/17,2023/06/12,read,read (#1),read,Absolutely loved this book!,,,0,0
607780,Saki: Short Stories,Saki,Saki,,0385053738,"=""0385053738""",4,4.07,Doubleday,Paperback,352,1976,1976,2023/05/29,2023/05/23,read,read (#1),read,,,,2,0
854047,The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor",,9781530117505,"=""9781530117505""",2,3.5,CreateSpace Independent Publishing Platform,Kindle Edition,536,2015,2015,2023/05/07,2023/04/13,read,read (#1),read,Too slow for my taste.,,,1,0
278568,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,9780385539258,"=""9780385539258""",4,3.5,Doubleday,Paperback,720,2015,2015,2023/04/20,2023/03/24,read,read (#1),read,Captivating from start to finish.,,,1,0
263984,The Shining,Stephen King,"King, Stephen",,9780450032202,"=""9780450032202""",4,3.5,New English Library,Paperback,447,1977,1977,2023/03/29,2023/03/17,read,read (#1),read,Captivating from start to finish.,,,2,1
104484,Stoning Mary,debbie tucker green,"green, debbie tucker",,9781854598561,"=""9781854598561""",4,3.05,Nick Hern Books,Paperback,73,2005,2005,2023/03/05,2023/02/24,read,read (#1),read,,,,0,1
515029,Distant Light,Antonio Moresco,"Moresco, Antonio",,9780914671428,"=""9780914671428""",5,3.66,Archipelago Books,Paperback,140,2016,2016,2023/02/21,2023/02/05,read,read (#1),read,,,,2,1
628765,Invisible Cities,Italo Calvino,"Calvino, Italo",,9781452614489,"=""9781452614489""",5,4.1,Tantor Audio,ebook,165,2013,2013,2023/01/25,2022/12/26,read,read (#1),read,,,,0,0
576952,The Alchemist,Paulo Coelho,"Coelho, Paulo",,9780007423200,"=""9780007423200""",5,3.92,HarperOne,Paperback,84,2010,2010,2023/01/06,2022/12/10,read,read (#1),read,Absolutely loved this book!,,,2,0
