Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
889432,Private Peaceful,Michael Morpurgo,"Morpurgo, Michael",,9780007150069,"=""9780007150069""",3,4.15,Collins,Paperback,208,2003,2003,2025/03/22,2025/02/01,read,read (#1),read,,,,0,1
865487,The Psychopath Test: A Journey Through the Madness Industry,Jon Ronson,"Ronson, Jon",,9780330492270,"=""9780330492270""",3,3.95,Picador,Kindle Edition,275,2012,2012,2023/04/20,2023/04/03,read,read (#1),read,,,,1,1
745814,"Feet of Clay (Discworld, #19; City Watch, #3)",Terry Pratchett,"Pratchett, Terry",,9780575059009,"=""9780575059009""",2,4.33,Victor Gollancz Ltd.,Kindle Edition,411,1996,1996,,2025/04/03,to-read,to-read (#1),to-read,Not my cup of tea. Found it boring.,,,0,0
427921,The Silence of the Lambs,Thomas Harris,"Harris, Thomas",,9780312022822,"=""9780312022822""",2,5.0,St. Martin's Press,Paperback,338,1988,1988,2024/03/20,2023/12/26,read,read (#1),read,,,,1,0
249046,A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",,9780739489505,"=""9780739489505""",2,3.5,Riverhead Books,Kindle Edition,372,2007,2007,2023/11/25,2023/10/10,read,read (#1),read,,,,1,1
495426,The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,9781439107959,"=""9781439107959""",0,3.5,Scribner,Kindle Edition,571,2010,2010,,2023/06/16,read,read (#1),read,Too slow for my taste.,,,1,1
955156,I Am Legend,Richard Matheson,"Matheson, Richard",,9781857988093,"=""9781857988093""",4,4.0,Gollancz,Kindle Edition,160,1954,1954,,2023/01/04,currently-reading,currently-reading (#1),currently-reading,Captivating from start to finish.,,,2,1
580176,The Graveyard Book,Neil Gaiman,"Gaiman, Neil",,9780060530921,"=""9780060530921""",2,4.16,HarperCollins Pub.,Paperback,312,2008,2008,2023/03/29,2023/02/26,read,read (#1),read,Didn't connect with the characters.,,,2,0
764503,The Shining,Stephen King,"King, Stephen",,9780450032202,"=""9780450032202""",4,3.5,New English Library,Kindle Edition,447,1977,1977,,2023/01/04,currently-reading,currently-reading (#1),currently-reading,,,,0,1
463385,"Thief of Time (Discworld, #26; Death, #5)",Terry Pratchett,"Pratchett, Terry",,0060199563,"=""0060199563""",0,4.28,HarperCollins,Paperback,378,2001,2001,2023/07/31,2023/06/08,read,read (#1),read,,,,2,0
753441,Ubik,Philip K. Dick,"Dick, Philip K.",,9788498003185,"=""9788498003185""",3,4.11,,Hardcover,288,,,2024/02/24,2023/12/25,read,read (#1),read,,,,0,1
394451,For Whom the Bell Tolls,Ernest Hemingway,"Hemingway, Ernest",,9780736657013,"=""9780736657013""",0,3.99,Books on Tape,Kindle Edition,471,1940,1940,2024/11/05,2024/09/20,read,read (#1),read,Not my cup of tea. Found it boring.,,,1,0
102880,"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,"Hoover, Colleen",,9786051739939,"=""9786051739939""",0,4.1,Epsilon Yayınevi,ebook,386,2012,2012,,2024/10/10,to-read,to-read (#1),to-read,,,,0,0
526932,Drug Use for Grown-Ups: Chasing Liberty in the Land of Fear,Carl L. Hart,"Hart, Carl L.",,9786559790050,"=""9786559790050""",2,4.01,Publisher,Hardcover,304,2019,2019,2024/12/17,2024/11/17,read,read (#1),read,Not my cup of tea. Found it boring.,,,2,0
498812,A Brief History of Time,Stephen Hawking,"Hawking, Stephen",,2082111822,"=""2082111822""",0,4.21,Flammarion,Kindle Edition,226,1988,1988,,2024/08/16,to-read,to-read (#1),to-read,Too slow for my taste.,,,2,0
250300,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,9780571364886,"=""9780571364886""",2,3.74,FABER ET FABER,Kindle Edition,303,2019,2019,2023/01/01,2022/12/15,read,read (#1),read,Not my cup of tea. Found it boring.,,,1,0
432146,Big Swiss,Jen Beagin,"Beagin, Jen",,9781982153083,"=""9781982153083""",2,3.68,Scribner,ebook,336,2023,2023,,2023/12/18,to-read,to-read (#1),to-read,,,,1,0
737946,"The Last Continent (Discworld, #22; Rincewind, #6)",Terry Pratchett,"Pratchett, Terry",,0061050482,"=""0061050482""",0,4.0,HarperPrism,Paperback,416,1999,1999,2023/11/18,2023/08/25,read,read (#1),read,,,,1,0
486283,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,1501139231,"=""1501139231""",0,4.4,Atria Books,Kindle Edition,389,2017,2017,2023/02/06,2023/01/10,read,read (#1),read,Not my cup of tea. Found it boring.,,,2,0
566288,Into Thin Air,Jon Krakauer,"Krakauer, Jon",,0385492081,"=""0385492081""",0,3.5,Anchor Books/Doubleday,Hardcover,378,1996,1996,2023/02/18,2023/01/12,read,read (#1),read,,,,2,1
996146,You Dreamed of Empires,Álvaro Enrigue,"Enrigue, Álvaro",,9781787303805,"=""9781787303805""",2,3.75,Penguin Random House,Kindle Edition,220,2023,2023,2024/08/23,2024/07/09,read,read (#1),read,Too slow for my taste.,,,1,1
