Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
817922,"The Truth (Discworld, #25; Industrial Revolution, #2)",Terry Pratchett,"Pratchett, Terry",,0380978954,"=""0380978954""",0,4.41,HarperCollins Publishers,Hardcover,444,2000,2000,2023/09/11,2023/06/30,read,read (#1),read,Didn't connect with the characters.,,,1,0
227138,"Raising Steam (Discworld, #40; Moist von Lipwig, #3)",Terry Pratchett,"Pratchett, Terry",,9780857522276,"=""9780857522276""",0,4.02,Doubleday,ebook,377,2013,2013,,2024/09/14,read,read (#1),read,Not my cup of tea. Found it boring.,,,2,1
611929,"Dune (Dune Chronicles, #1)",Frank Herbert,"Herbert, Frank",,9781444738209,"=""9781444738209""",0,4.29,Hodder,ebook,510,1965,1965,,2023/02/21,to-read,to-read (#1),to-read,Too slow for my taste.,,,0,1
488051,"The Truth (Discworld, #25; Industrial Revolution, #2)",Terry Pratchett,"Pratchett, Terry",,0380978954,"=""0380978954""",3,4.41,HarperCollins Publishers,Paperback,444,2000,2000,,2024/01/03,to-read,to-read (#1),to-read,,,,0,1
177277,"Raising Steam (Discworld, #40; Moist von Lipwig, #3)",Terry Pratchett,"Pratchett, Terry",,9780857522276,"=""9780857522276""",0,4.02,Doubleday,Hardcover,377,2013,2013,2024/02/12,2023/12/07,read,read (#1),read,,,,2,1
399983,"Dune (Dune Chronicles, #1)",Frank Herbert,"Herbert, Frank",,9781444738209,"=""9781444738209""",3,4.29,Hodder,Kindle Edition,510,1965,1965,,2025/04/15,to-read,to-read (#1),to-read,,,,2,1
443733,"The Last Hero (Discworld, #27; Rincewind, #7)",Terry Pratchett,"Pratchett, Terry",,0061040967,"=""0061040967""",1,4.18,HarperCollins,ebook,176,2001,2001,2024/07/21,2024/06/20,read,read (#1),read,,,,2,1
182919,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",C.S. Lewis,"Lewis, C.S.",,9780060281373,"=""9780060281373""",3,4.28,HarperCollins Publishers,Paperback,767,1970,1970,,2023/04/21,to-read,to-read (#1),to-read,,,,2,1
244585,Orlando,Virginia Woolf,"Woolf, Virginia",,9783596505470,"=""9783596505470""",4,3.87,"Fischer (Tb.), Frankfurt",Kindle Edition,336,2002,2002,,2024/11/07,read,read (#1),read,Captivating from start to finish.,,,2,0
969282,"Pyramids (Discworld, #7)",Terry Pratchett,"Pratchett, Terry",,9780451450449,"=""9780451450449""",0,3.93,ROC,Hardcover,341,1989,1989,2024/06/26,2024/04/16,read,read (#1),read,Didn't connect with the characters.,,,2,0
