Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
166997,Stoner,John  Williams,"Williams, John",John McGahern,"=""1590171993""","=""9781590171998""",0,4.35,New York Review Books,Paperback,292,2006,1965,,2025/06/12,to-read,to-read (#1),to-read,,,,0,0
34503,"The Last Hero (Discworld, #27; Rincewind, #7)",Terry Pratchett,"Pratchett, Terry",Paul Kidby,"=""0060507772""","=""9780060507770""",0,4.18,Harper Paperbacks,Paperback,176,2002,2001,,2025/06/11,currently-reading,currently-reading (#1),currently-reading,,,,1,0
6018080,The Complete Cosmicomics,Italo Calvino,"Calvino, Italo",,"=""1846141656""","=""9781846141652""",0,4.11,Penguin Books,Hardcover,402,2009,1997,2025/06/11,2025/06/11,,,read,,,,1,0
9809,Invisible Cities,Italo Calvino,"Calvino, Italo",William Weaver,"=""0156453800""","=""9780156453806""",0,4.10,Harcourt,Paperback,165,1974,1972,,2025/06/11,,,read,,,,1,0
58730652,Paradais,Fernanda Melchor,"Melchor, Fernanda",Sophie Hughes,"=""1913097870""","=""9781913097875""",0,3.62,Fitzcarraldo Editions,Paperback,118,2022,2021,2025/05/15,2025/05/15,,,read,,,,1,0
21413662,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,"Munroe, Randall",,"=""0544272994""","=""9780544272996""",0,4.14,Dey Street Books,Hardcover,303,2014,2014,,2025/04/30,,,read,,,,1,0
127938747,You Dreamed of Empires,Álvaro Enrigue,"Enrigue, Álvaro",Natasha Wimmer,"=""059354479X""","=""9780593544792""",0,3.76,Riverhead,Hardcover,220,2024,2022,2025/05/01,2025/04/30,,,read,,,,1,0
9777,The God of Small Things,Arundhati Roy,"Roy, Arundhati",,"=""0679457313""","=""9780679457312""",0,3.96,Random House,Paperback,321,1997,1997,2025/04/15,2025/03/31,,,read,,,,1,0
47994,"The Last Continent (Discworld, #22; Rincewind, #6)",Terry Pratchett,"Pratchett, Terry",,"=""0552154180""","=""9780552154185""",0,4.00,Corgi,Paperback,416,2006,1998,2025/04/07,2025/03/31,,,read,,,,1,0
116296,"Making Money (Discworld, #36; Moist Von Lipwig, #2)",Terry Pratchett,"Pratchett, Terry",,"=""0061161640""","=""9780061161643""",0,4.27,Harper,Hardcover,394,2007,2007,2025/03/15,2025/03/31,,,read,,,,1,0
34511,"Monstrous Regiment (Discworld, #31; Industrial Revolution, #3)",Terry Pratchett,"Pratchett, Terry",,"=""""","=""""",0,4.26,,Paperback,496,2003,2003,2025/03/30,2025/03/31,,,read,,,,1,0
64222,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060502932""","=""9780060502935""",0,4.41,HarperTorch,Mass Market Paperback,394,2005,2004,2025/03/18,2025/03/31,,,read,,,,1,0
22590,Ubik,Philip K. Dick,"Dick, Philip K.",,"=""8498000831""","=""9788498000832""",0,4.11,La factoría de ideas,Paperback,288,2004,1969,2025/03/06,2025/01/15,,,read,,,,1,0
884288,"Interesting Times (Discworld, #17; Rincewind, #5)",Terry Pratchett,"Pratchett, Terry",,"=""0061056901""","=""9780061056901""",0,4.15,HarperTorch,Mass Market Paperback,368,1998,1994,2025/02/24,2025/01/15,,,read,,,,1,0
34499,"Sourcery (Discworld, #5; Rincewind, #3)",Terry Pratchett,"Pratchett, Terry",,"=""0061020672""","=""9780061020674""",0,3.91,Harper,Mass Market Paperback,276,2008,1988,2025/02/09,2025/01/15,,,read,,,,1,0
64218,"Eric (Discworld, #9; Rincewind, #4)",Terry Pratchett,"Pratchett, Terry",,"=""0380821214""","=""9780380821211""",0,3.79,Harper,Mass Market Paperback,197,2008,1990,2025/01/21,2025/01/15,,,read,,,,1,0
34506,"The Light Fantastic (Discworld, #2; Rincewind, #2)",Terry Pratchett,"Pratchett, Terry",,"=""0061020702""","=""9780061020704""",0,4.01,HarperTorch,Mass Market Paperback,277,2000,1986,2025/01/15,2025/01/15,,,read,,,,1,0
36577645,Saki: Short Stories,Saki,"Saki, Saki",,"=""""","=""""",0,4.00,Folio Society,Hardcover,352,2017,,,2024/12/16,,,read,,,,1,0
74537,Someone Like You,Roald Dahl,"Dahl, Roald",,"=""""","=""""",0,3.94,Penguin Books,Paperback,270,1986,1953,,2024/12/16,,,read,,,,1,0
